Country,Coffee type,Year Start,Year End,Total Production
Nicaragua,Arabica,757382400,788832000,40980000.0
Nigeria,Robusta,757382400,788832000,3120000.0
Panama,Arabica,757382400,788832000,14880000.0
Sierra Leone,Robusta,757382400,788832000,4380000.0
Sri Lanka,Robusta/Arabica,757382400,788832000,2520000.0
Thailand,Robusta/Arabica,757382400,788832000,83940000.0
Togo,Robusta,757382400,788832000,10560000.0
Trinidad & Tobago,Robusta,757382400,788832000,1080000.0
Uganda,Robusta/Arabica,757382400,788832000,143580000.0
Venezuela,Arabica,757382400,788832000,59340000.0
Viet Nam,Robusta/Arabica,757382400,788832000,217920000.0
Yemen,Arabica,757382400,788832000,0.0
Angola,Robusta/Arabica,788918400,820368000,3720000.0
Bolivia,Arabica,788918400,820368000,8520000.0
Brazil,Arabica/Robusta,788918400,820368000,1083600000.0
Burundi,Arabica/Robusta,788918400,820368000,26040000.0
Ecuador,Arabica/Robusta,788918400,820368000,113280000.0
Indonesia,Robusta/Arabica,788918400,820368000,274380000.0
Madagascar,Robusta,788918400,820368000,47100000.0
Malawi,Arabica,788918400,820368000,5460000.0
Papua New Guinea,Arabica/Robusta,788918400,820368000,60120000.0
Paraguay,Arabica,788918400,820368000,1560000.0
Peru,Arabica,788918400,820368000,112260000.0
Rwanda,Arabica,788918400,820368000,19740000.0
Timor-Leste,Arabica,788918400,820368000,0.0
Zimbabwe,Arabica,788918400,820368000,7860000.0
Congo,Robusta,788918400,820368000,720000.0
Cuba,Arabica,788918400,820368000,17100000.0
Dominican Republic,Arabica/Robusta,788918400,820368000,53160000.0
Haiti,Arabica,788918400,820368000,30840000.0
Philippines,Robusta/Arabica,788918400,820368000,51000000.0
Tanzania,Arabica/Robusta,788918400,820368000,53820000.0
Zambia,Arabica,788918400,820368000,1560000.0
Cameroon,Robusta/Arabica,788918400,820368000,39600000.0
Central African Republic,Robusta,788918400,820368000,6480000.0
Colombia,Arabica,788918400,820368000,776280000.0
Costa Rica,Arabica,788918400,820368000,170640000.0
Côte d'Ivoire,Robusta,788918400,820368000,151920000.0
Democratic Republic of Congo,Robusta/Arabica,788918400,820368000,65880000.0
El Salvador,Arabica,788918400,820368000,155100000.0
Equatorial Guinea,Robusta,788918400,820368000,120000.0
Ethiopia,Arabica,788918400,820368000,189900000.0
Gabon,Robusta,788918400,820368000,120000.0
Ghana,Robusta,788918400,820368000,3420000.0
Guatemala,Arabica/Robusta,788918400,820368000,240120000.0
Guinea,Robusta,788918400,820368000,6240000.0
Guyana,Robusta,788918400,820368000,0.0
Honduras,Arabica,788918400,820368000,114540000.0
India,Robusta/Arabica,788918400,820368000,240720000.0
Jamaica,Arabica,788918400,820368000,2580000.0
Kenya,Arabica,788918400,820368000,99840000.0
Lao People's Democratic Republic,Robusta,788918400,820368000,0.0
Liberia,Robusta,788918400,820368000,300000.0
